"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Department for Education","National College for Leadership of Schools and Children's Services","Directorate for Children Services","NCSL-1022","D","26142","35997","Project / Programme Manager","2","Operational Delivery","/data/nationalcollege/2011-03-31/National-College-as-at-31-March-2011.xls","juniorPosts92"
"Department for Education","National College for Leadership of Schools and Children's Services","Directorate for Children Services","NCSL-1022","E","19991","26507","Senior Project / Programme Co-ordinator","2","Operational Delivery","/data/nationalcollege/2011-03-31/National-College-as-at-31-March-2011.xls","juniorPosts93"
"Department for Education","National College for Leadership of Schools and Children's Services","Directorate for Children Services","NCSL-1011","C1","43056","59289","Senior Project / Progamme Manager","1","Operational Delivery","/data/nationalcollege/2011-03-31/National-College-as-at-31-March-2011.xls","juniorPosts94"
"Department for Education","National College for Leadership of Schools and Children's Services","Directorate for Children Services","NCSL-1011","C2","33830","46584","Senior Project / Progamme Manager","2","Operational Delivery","/data/nationalcollege/2011-03-31/National-College-as-at-31-March-2011.xls","juniorPosts95"
"Department for Education","National College for Leadership of Schools and Children's Services","Directorate for Children Services","NCSL-1011","D","26142","35997","Project / Programme Manager","3.81","Operational Delivery","/data/nationalcollege/2011-03-31/National-College-as-at-31-March-2011.xls","juniorPosts96"
"Department for Education","National College for Leadership of Schools and Children's Services","Directorate for Children Services","NCSL-1011","E","19991","26507","PA","1","Operational Delivery","/data/nationalcollege/2011-03-31/National-College-as-at-31-March-2011.xls","juniorPosts97"
"Department for Education","National College for Leadership of Schools and Children's Services","Directorate for Children Services","NCSL-1011","E","19991","26507","Senior Project / Programme Co-ordinator","2","Operational Delivery","/data/nationalcollege/2011-03-31/National-College-as-at-31-March-2011.xls","juniorPosts98"
"Department for Education","National College for Leadership of Schools and Children's Services","Directorate for Children Services","NCSL-1011","F","15377","20390","Project / Programme Co-ordinator","2","Operational Delivery","/data/nationalcollege/2011-03-31/National-College-as-at-31-March-2011.xls","juniorPosts99"
"Department for Education","National College for Leadership of Schools and Children's Services","Policy, Research & Development","NCSL-1020","C1","43056","59289","Head of Quality & Evaluation","1","Operational Research","/data/nationalcollege/2011-03-31/National-College-as-at-31-March-2011.xls","juniorPosts100"
"Department for Education","National College for Leadership of Schools and Children's Services","Policy, Research & Development","NCSL-1020","C2","33830","46584","Senior Project / Progamme Manager","1","Operational Research","/data/nationalcollege/2011-03-31/National-College-as-at-31-March-2011.xls","juniorPosts101"
