"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Department for Business Innovation and Skills","Higher Education Funding Council for England","Finance and Corporate Resources","90115","6","22507","25884","IT Support Officer","1","Information Technology","/data/hefce/2011-03-31/HEFCE_organogram.xls","juniorPosts57"
"Department for Business Innovation and Skills","Higher Education Funding Council for England","Finance and Corporate Resources","90115","7","26062","29971","IT Support Officer","2","Information Technology","/data/hefce/2011-03-31/HEFCE_organogram.xls","juniorPosts58"
"Department for Business Innovation and Skills","Higher Education Funding Council for England","Finance and Corporate Resources","90115","8","31984","36781","IT Support Officer","6.81","Information Technology","/data/hefce/2011-03-31/HEFCE_organogram.xls","juniorPosts59"
"Department for Business Innovation and Skills","Higher Education Funding Council for England","Education and Participation","90284","8","31984","36781","JISC Committee Secretary","3.81","Operational Delivery","/data/hefce/2011-03-31/HEFCE_organogram.xls","juniorPosts60"
"Department for Business Innovation and Skills","Higher Education Funding Council for England","Education and Participation","90284","6","22507","25884","JISC Committee Support Officer","2.41","Operational Delivery","/data/hefce/2011-03-31/HEFCE_organogram.xls","juniorPosts61"
"Department for Business Innovation and Skills","Higher Education Funding Council for England","Finance and Corporate Resources","90115","6","22507","25884","JISC Committee Support Officer","1","Operational Delivery","/data/hefce/2011-03-31/HEFCE_organogram.xls","juniorPosts62"
"Department for Business Innovation and Skills","Higher Education Funding Council for England","Finance and Corporate Resources","90115","5","19546","22478","Knowledge Information Management Support","1","Knowledge and Information Management (KIM)","/data/hefce/2011-03-31/HEFCE_organogram.xls","juniorPosts63"
"Department for Business Innovation and Skills","Higher Education Funding Council for England","Finance and Corporate Resources","90115","6","22507","25884","Knowledge Information Management Support","1","Knowledge and Information Management (KIM)","/data/hefce/2011-03-31/HEFCE_organogram.xls","juniorPosts64"
"Department for Business Innovation and Skills","Higher Education Funding Council for England","Finance and Corporate Resources","90115","7","26062","29971","Knowledge Information Management Support","1","Knowledge and Information Management (KIM)","/data/hefce/2011-03-31/HEFCE_organogram.xls","juniorPosts65"
"Department for Business Innovation and Skills","Higher Education Funding Council for England","Finance and Corporate Resources","90115","8","31984","36781","Knowledge Information Manager","1","Knowledge and Information Management (KIM)","/data/hefce/2011-03-31/HEFCE_organogram.xls","juniorPosts66"
"Department for Business Innovation and Skills","Higher Education Funding Council for England","Finance and Corporate Resources","90115","9","41461","47681","Knowledge Information Manager","1","Knowledge and Information Management (KIM)","/data/hefce/2011-03-31/HEFCE_organogram.xls","juniorPosts67"
"Department for Business Innovation and Skills","Higher Education Funding Council for England","Finance and Corporate Resources","90115","2","13625","15668","Office Assistant/Receptionist","4.95","Operational Delivery","/data/hefce/2011-03-31/HEFCE_organogram.xls","juniorPosts68"
"Department for Business Innovation and Skills","Higher Education Funding Council for England","Finance and Corporate Resources","90115","3","15399","17708","Office Assistant/Receptionist","2","Operational Delivery","/data/hefce/2011-03-31/HEFCE_organogram.xls","juniorPosts69"
"Department for Business Innovation and Skills","Higher Education Funding Council for England","Finance and Corporate Resources","90115","6","22507","25884","Office Manager","1","Operational Delivery","/data/hefce/2011-03-31/HEFCE_organogram.xls","juniorPosts70"
"Department for Business Innovation and Skills","Higher Education Funding Council for England","Finance and Corporate Resources","90115","9","41461","47681","Other Senior Adviser","3","Policy","/data/hefce/2011-03-31/HEFCE_organogram.xls","juniorPosts71"
"Department for Business Innovation and Skills","Higher Education Funding Council for England","Finance and Corporate Resources","90115","10","50936","58577","Other Senior Adviser","1","Policy","/data/hefce/2011-03-31/HEFCE_organogram.xls","juniorPosts72"
"Department for Business Innovation and Skills","Higher Education Funding Council for England","Education and Participation","90284","6","22507","25884","Personal Assistant","2","Operational Delivery","/data/hefce/2011-03-31/HEFCE_organogram.xls","juniorPosts73"
"Department for Business Innovation and Skills","Higher Education Funding Council for England","Finance and Corporate Resources","90115","6","22507","25884","Personal Assistant","5","Operational Delivery","/data/hefce/2011-03-31/HEFCE_organogram.xls","juniorPosts74"
"Department for Business Innovation and Skills","Higher Education Funding Council for England","Research, Innovation and Skills","90250","6","22507","25884","Personal Assistant","1","Operational Delivery","/data/hefce/2011-03-31/HEFCE_organogram.xls","juniorPosts75"
"Department for Business Innovation and Skills","Higher Education Funding Council for England","Education and Participation","90284","11","61598","70838","Regional/Project Consultant","2","Operational Delivery","/data/hefce/2011-03-31/HEFCE_organogram.xls","juniorPosts76"
"Department for Business Innovation and Skills","Higher Education Funding Council for England","Finance and Corporate Resources","90115","11","61598","70838","Regional/Project Consultant","3","Operational Delivery","/data/hefce/2011-03-31/HEFCE_organogram.xls","juniorPosts77"
"Department for Business Innovation and Skills","Higher Education Funding Council for England","Research, Innovation and Skills","90250","11","61598","70838","Regional/Project Consultant","1.86","Operational Delivery","/data/hefce/2011-03-31/HEFCE_organogram.xls","juniorPosts78"
"Department for Business Innovation and Skills","Higher Education Funding Council for England","Finance and Corporate Resources","90115","9","41461","47681","Senior Analyst","4.81","statisticians","/data/hefce/2011-03-31/HEFCE_organogram.xls","juniorPosts79"
"Department for Business Innovation and Skills","Higher Education Funding Council for England","Finance and Corporate Resources","90115","10","50936","58577","senior finance manager","2.8","Finance","/data/hefce/2011-03-31/HEFCE_organogram.xls","juniorPosts80"
"Department for Business Innovation and Skills","Higher Education Funding Council for England","Education and Participation","90284","9","41461","47681","Senior HE Policy Adviser","4.73","Policy","/data/hefce/2011-03-31/HEFCE_organogram.xls","juniorPosts81"
"Department for Business Innovation and Skills","Higher Education Funding Council for England","Finance and Corporate Resources","90115","9","41461","47681","Senior HE Policy Adviser","7.77","Policy","/data/hefce/2011-03-31/HEFCE_organogram.xls","juniorPosts82"
"Department for Business Innovation and Skills","Higher Education Funding Council for England","Research, Innovation and Skills","90250","9","41461","47681","Senior HE Policy Adviser","5.56","Policy","/data/hefce/2011-03-31/HEFCE_organogram.xls","juniorPosts83"
