"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Home Office","Equality and Human Rights Commission","Corporate Management, Finance","3","Level 3","26815","32595","Project Officer","1","Finance"
"Home Office","Equality and Human Rights Commission","Corporate Management, Finance","3","Level 3","26815","32595","Procurement Officer","1","Finance"
"Home Office","Equality and Human Rights Commission","Corporate Management, Finance","3","Level 3","26815","32595","Procurement Officer","1","Finance"
"Home Office","Equality and Human Rights Commission","Corporate Management, Finance","3","Level 3","26815","32595","Procurement Officer","1","Finance"
"Home Office","Equality and Human Rights Commission","Corporate Management, Finance","3","Level 3","26815","32595","Procurement Officer","1","Finance"
"Home Office","Equality and Human Rights Commission","Corporate Management, Finance","3","Level 4","34224","41600","Accountant","1","Finance"
"Home Office","Equality and Human Rights Commission","Corporate Management, Finance","3","Level 4","34224","41600","Accountant","1","Finance"
"Home Office","Equality and Human Rights Commission","Corporate Management, Finance","3","Level 4","34224","41600","Accountant","1","Finance"
"Home Office","Equality and Human Rights Commission","Corporate Management, Finance","3","Level 4","34224","41600","Accountant","1","Finance"
"Home Office","Equality and Human Rights Commission","Corporate Management, Finance","3","Level 4","34224","41600","Analyst","1","Finance"
"Home Office","Equality and Human Rights Commission","Corporate Management, Finance","3","Level 4","34224","41600","Analyst","1","Finance"
"Home Office","Equality and Human Rights Commission","Corporate Management, Finance","3","Level 4","34224","41600","Analyst","1","Finance"
"Home Office","Equality and Human Rights Commission","Corporate Management, Finance","3","Level 4","34224","41600","Analyst","1","Finance"
"Home Office","Equality and Human Rights Commission","Corporate Management, Finance","3","Level 4","34224","41600","Finance Manager","1","Finance"
"Home Office","Equality and Human Rights Commission","Corporate Management, Finance","3","Level 4","34224","41600","Finance Manager","1","Finance"
"Home Office","Equality and Human Rights Commission","Corporate Management, Finance","3","Level 4","34224","41600","Finance Manager","1","Finance"
"Home Office","Equality and Human Rights Commission","Corporate Management, Finance","3","Level 4","34224","41600","Finance Manager","1","Finance"
"Home Office","Equality and Human Rights Commission","Corporate Management, Finance","3","Level 4","34224","41600","Project Officer","2.83","Finance"
"Home Office","Equality and Human Rights Commission","Corporate Management, Finance","3","Level 4","34224","41600","Project Officer","2.83","Finance"
"Home Office","Equality and Human Rights Commission","Corporate Management, Finance","3","Level 4","34224","41600","Project Officer","2.83","Finance"
"Home Office","Equality and Human Rights Commission","Corporate Management, Finance","3","Level 4","34224","41600","Project Officer","2.83","Finance"
"Home Office","Equality and Human Rights Commission","Corporate Management, Finance","3","Level 4","34224","41600","Finance Officer","1","Finance"
"Home Office","Equality and Human Rights Commission","Corporate Management, Finance","3","Level 4","34224","41600","Finance Officer","1","Finance"
"Home Office","Equality and Human Rights Commission","Corporate Management, Finance","3","Level 4","34224","41600","Finance Officer","1","Finance"
"Home Office","Equality and Human Rights Commission","Corporate Management, Finance","3","Level 4","34224","41600","Finance Officer","1","Finance"
"Home Office","Equality and Human Rights Commission","Corporate Management, Finance","3","Level 5","43680","53093","Head","2","Finance"
"Home Office","Equality and Human Rights Commission","Corporate Management, Finance","3","Level 5","43680","53093","Head","2","Finance"
"Home Office","Equality and Human Rights Commission","Corporate Management, Finance","3","Level 5","43680","53093","Head","2","Finance"
"Home Office","Equality and Human Rights Commission","Corporate Management, Finance","3","Level 5","43680","53093","Head","2","Finance"
"Home Office","Equality and Human Rights Commission","Corporate Management, Finance","3","Level 5","43680","53093","Project Manager","2","Finance"
"Home Office","Equality and Human Rights Commission","Corporate Management, Finance","3","Level 5","43680","53093","Project Manager","2","Finance"
"Home Office","Equality and Human Rights Commission","Corporate Management, Finance","3","Level 5","43680","53093","Project Manager","2","Finance"
"Home Office","Equality and Human Rights Commission","Corporate Management, Finance","3","Level 5","43680","53093","Project Manager","2","Finance"
"Home Office","Equality and Human Rights Commission","Corporate Management, Grants","3","Level 3","26815","32595","Grants Officer","4","Operational delivery"
"Home Office","Equality and Human Rights Commission","Corporate Management, Grants","3","Level 3","26815","32595","Grants Officer","4","Operational delivery"
"Home Office","Equality and Human Rights Commission","Corporate Management, Grants","3","Level 3","26815","32595","Grants Officer","4","Operational delivery"
"Home Office","Equality and Human Rights Commission","Corporate Management, Grants","3","Level 3","26815","32595","Grants Officer","4","Operational delivery"
"Home Office","Equality and Human Rights Commission","Corporate Management, Grants","3","Level 4","34224","41600","Grants Manager","1","Operational delivery"
"Home Office","Equality and Human Rights Commission","Corporate Management, Grants","3","Level 4","34224","41600","Grants Manager","1","Operational delivery"
"Home Office","Equality and Human Rights Commission","Corporate Management, Grants","3","Level 4","34224","41600","Grants Manager","1","Operational delivery"
"Home Office","Equality and Human Rights Commission","Corporate Management, Grants","3","Level 4","34224","41600","Grants Manager","1","Operational delivery"
"Home Office","Equality and Human Rights Commission","Corporate Management, Grants","3","Level 5","43680","53093","Head","1","Operational delivery"
"Home Office","Equality and Human Rights Commission","Corporate Management, Grants","3","Level 5","43680","53093","Head","1","Operational delivery"
"Home Office","Equality and Human Rights Commission","Corporate Management, Grants","3","Level 5","43680","53093","Head","1","Operational delivery"
"Home Office","Equality and Human Rights Commission","Corporate Management, Grants","3","Level 5","43680","53093","Head","1","Operational delivery"
"Home Office","Equality and Human Rights Commission","Corporate Management, ICT","3","Level 2","20056","24378","IT Support Officer","3","Information Technology"
"Home Office","Equality and Human Rights Commission","Corporate Management, ICT","3","Level 2","20056","24378","IT Support Officer","3","Information Technology"
"Home Office","Equality and Human Rights Commission","Corporate Management, ICT","3","Level 2","20056","24378","IT Support Officer","3","Information Technology"
"Home Office","Equality and Human Rights Commission","Corporate Management, ICT","3","Level 2","20056","24378","IT Support Officer","3","Information Technology"
"Home Office","Equality and Human Rights Commission","Corporate Management, ICT","3","Level 3","26815","32595","Applications Developer","2","Information Technology"
"Home Office","Equality and Human Rights Commission","Corporate Management, ICT","3","Level 3","26815","32595","Applications Developer","2","Information Technology"
"Home Office","Equality and Human Rights Commission","Corporate Management, ICT","3","Level 3","26815","32595","Applications Developer","2","Information Technology"
"Home Office","Equality and Human Rights Commission","Corporate Management, ICT","3","Level 3","26815","32595","Applications Developer","2","Information Technology"
"Home Office","Equality and Human Rights Commission","Corporate Management, ICT","3","Level 3","26815","32595","IT Officer","1","Information Technology"
"Home Office","Equality and Human Rights Commission","Corporate Management, ICT","3","Level 3","26815","32595","IT Officer","1","Information Technology"
"Home Office","Equality and Human Rights Commission","Corporate Management, ICT","3","Level 3","26815","32595","IT Officer","1","Information Technology"
"Home Office","Equality and Human Rights Commission","Corporate Management, ICT","3","Level 3","26815","32595","IT Officer","1","Information Technology"
"Home Office","Equality and Human Rights Commission","Corporate Management, ICT","3","Level 3","26815","32595","IT Support Officer","1","Information Technology"
"Home Office","Equality and Human Rights Commission","Corporate Management, ICT","3","Level 3","26815","32595","IT Support Officer","1","Information Technology"
"Home Office","Equality and Human Rights Commission","Corporate Management, ICT","3","Level 3","26815","32595","IT Support Officer","1","Information Technology"
"Home Office","Equality and Human Rights Commission","Corporate Management, ICT","3","Level 3","26815","32595","IT Support Officer","1","Information Technology"
"Home Office","Equality and Human Rights Commission","Corporate Management, ICT","3","Level 3","26815","32595","Network Engineer","2","Information Technology"
"Home Office","Equality and Human Rights Commission","Corporate Management, ICT","3","Level 3","26815","32595","Network Engineer","2","Information Technology"
"Home Office","Equality and Human Rights Commission","Corporate Management, ICT","3","Level 3","26815","32595","Network Engineer","2","Information Technology"
"Home Office","Equality and Human Rights Commission","Corporate Management, ICT","3","Level 3","26815","32595","Network Engineer","2","Information Technology"
"Home Office","Equality and Human Rights Commission","Corporate Management, ICT","3","Level 4","34224","41600","Application Architect","1","Information Technology"
"Home Office","Equality and Human Rights Commission","Corporate Management, ICT","3","Level 4","34224","41600","Application Architect","1","Information Technology"
"Home Office","Equality and Human Rights Commission","Corporate Management, ICT","3","Level 4","34224","41600","Application Architect","1","Information Technology"
"Home Office","Equality and Human Rights Commission","Corporate Management, ICT","3","Level 4","34224","41600","Application Architect","1","Information Technology"
"Home Office","Equality and Human Rights Commission","Corporate Management, ICT","3","Level 4","34224","41600","Senior Network Engineer","1","Information Technology"
"Home Office","Equality and Human Rights Commission","Corporate Management, ICT","3","Level 4","34224","41600","Senior Network Engineer","1","Information Technology"
"Home Office","Equality and Human Rights Commission","Corporate Management, ICT","3","Level 4","34224","41600","Senior Network Engineer","1","Information Technology"
"Home Office","Equality and Human Rights Commission","Corporate Management, ICT","3","Level 4","34224","41600","Senior Network Engineer","1","Information Technology"
"Home Office","Equality and Human Rights Commission","Corporate Management, ICT","3","Level 4","34224","41600","Team Manager","1","Information Technology"
"Home Office","Equality and Human Rights Commission","Corporate Management, ICT","3","Level 4","34224","41600","Team Manager","1","Information Technology"
"Home Office","Equality and Human Rights Commission","Corporate Management, ICT","3","Level 4","34224","41600","Team Manager","1","Information Technology"
"Home Office","Equality and Human Rights Commission","Corporate Management, ICT","3","Level 4","34224","41600","Team Manager","1","Information Technology"
"Home Office","Equality and Human Rights Commission","Corporate Management, ICT","3","Level 5","43680","53093","Senior IT manager","1","Information Technology"
"Home Office","Equality and Human Rights Commission","Corporate Management, ICT","3","Level 5","43680","53093","Senior IT manager","1","Information Technology"
"Home Office","Equality and Human Rights Commission","Corporate Management, ICT","3","Level 5","43680","53093","Senior IT manager","1","Information Technology"
"Home Office","Equality and Human Rights Commission","Corporate Management, ICT","3","Level 5","43680","53093","Senior IT manager","1","Information Technology"
"Home Office","Equality and Human Rights Commission","Corporate Management, Information","3","Director","55000","90000","Director","1","Knowledge and Information Management (KIM)"
"Home Office","Equality and Human Rights Commission","Corporate Management, Information","3","Director","55000","90000","Director","1","Knowledge and Information Management (KIM)"
"Home Office","Equality and Human Rights Commission","Corporate Management, Information","3","Director","55000","90000","Director","1","Knowledge and Information Management (KIM)"
"Home Office","Equality and Human Rights Commission","Corporate Management, Information","3","Director","55000","90000","Director","1","Knowledge and Information Management (KIM)"
"Home Office","Equality and Human Rights Commission","Corporate Management, Information","3","Level 2","20056","24378","Service Support Coordinator","1","Knowledge and Information Management (KIM)"
"Home Office","Equality and Human Rights Commission","Corporate Management, Information","3","Level 2","20056","24378","Service Support Coordinator","1","Knowledge and Information Management (KIM)"
"Home Office","Equality and Human Rights Commission","Corporate Management, Information","3","Level 2","20056","24378","Service Support Coordinator","1","Knowledge and Information Management (KIM)"
"Home Office","Equality and Human Rights Commission","Corporate Management, Information","3","Level 2","20056","24378","Service Support Coordinator","1","Knowledge and Information Management (KIM)"
"Home Office","Equality and Human Rights Commission","Corporate Management, Information","3","Level 3","26815","32595","Communications Officer","0.8","Knowledge and Information Management (KIM)"
"Home Office","Equality and Human Rights Commission","Corporate Management, Information","3","Level 3","26815","32595","Communications Officer","0.8","Knowledge and Information Management (KIM)"
"Home Office","Equality and Human Rights Commission","Corporate Management, Information","3","Level 3","26815","32595","Communications Officer","0.8","Knowledge and Information Management (KIM)"
"Home Office","Equality and Human Rights Commission","Corporate Management, Information","3","Level 3","26815","32595","Communications Officer","0.8","Knowledge and Information Management (KIM)"
"Home Office","Equality and Human Rights Commission","Corporate Management, Information","3","Level 4","34224","41600","Knowledge Information Management Manager","1","Knowledge and Information Management (KIM)"
"Home Office","Equality and Human Rights Commission","Corporate Management, Information","3","Level 4","34224","41600","Knowledge Information Management Manager","1","Knowledge and Information Management (KIM)"
"Home Office","Equality and Human Rights Commission","Corporate Management, Information","3","Level 4","34224","41600","Knowledge Information Management Manager","1","Knowledge and Information Management (KIM)"
"Home Office","Equality and Human Rights Commission","Corporate Management, Information","3","Level 4","34224","41600","Knowledge Information Management Manager","1","Knowledge and Information Management (KIM)"
"Home Office","Equality and Human Rights Commission","Corporate Management, People","3","Director","55000","90000","Director","1","Human resources"
"Home Office","Equality and Human Rights Commission","Corporate Management, People","3","Director","55000","90000","Director","1","Human resources"
"Home Office","Equality and Human Rights Commission","Corporate Management, People","3","Director","55000","90000","Director","1","Human resources"
