"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Department for International Development","Department for International Development","Policy & International","B110","A2 (G7)","49410","58160","Administrator","14","Policy"
"Department for International Development","Department for International Development","Policy & International","B110","A2(L) (SEO)","41218","45380","Administrator","1","Policy"
"Department for International Development","Department for International Development","Policy & International","B110","B1 (HEO)","31320","35680","Administrator","2","Policy"
"Department for International Development","Department for International Development","Policy & International","B110","B1D (Faststream)","26800","37195","Administrator","1","Policy"
"Department for International Development","Department for International Development","Policy & International","B110","B2 (EO)","23930","28210","Administrator","3","Policy"
"Department for International Development","Department for International Development","Policy & International","B110","C1 (AO)","19500","23275","Administrator","0.8","Policy"
"Department for International Development","Department for International Development","Policy & International","B111","A1 (G6)","61381","70290","Administrator","2","Policy"
"Department for International Development","Department for International Development","Policy & International","B111","A2 (G7)","49410","58160","Administrator","5","Policy"
"Department for International Development","Department for International Development","Policy & International","B111","A2(L) (SEO)","41218","45380","Administrator","1","Policy"
"Department for International Development","Department for International Development","Policy & International","B111","B1 (HEO)","31320","35680","Administrator","3.6","Policy"
"Department for International Development","Department for International Development","Policy & International","B111","B2 (EO)","23930","28210","Administrator","3","Policy"
"Department for International Development","Department for International Development","Policy & International","B111","C1 (AO)","19500","23275","Administrator","1","Policy"
"Department for International Development","Department for International Development","Policy & International","B114","A1 (G6)","61381","70290","Administrator","9","Policy"
"Department for International Development","Department for International Development","Policy & International","B114","A2 (G7)","49410","58160","Administrator","2","Policy"
"Department for International Development","Department for International Development","Policy & International","B114","A2(L) (SEO)","41218","45380","Administrator","6","Policy"
"Department for International Development","Department for International Development","Policy & International","B114","B1 (HEO)","31320","35680","Administrator","3.5","Policy"
"Department for International Development","Department for International Development","Policy & International","B114","B2 (EO)","23930","28210","Administrator","1.8","Policy"
"Department for International Development","Department for International Development","Policy & International","B114","C1 (AO)","19500","23275","Administrator","5","Policy"
"Department for International Development","Department for International Development","Policy & International","B115","B2 (EO)","23930","28210","Administrator","1","Policy"
"Department for International Development","Department for International Development","Policy & International","B116","A1 (G6)","61381","70290","Administrator","3","Policy"
"Department for International Development","Department for International Development","Policy & International","B116","A2 (G7)","49410","58160","Administrator","5","Policy"
"Department for International Development","Department for International Development","Policy & International","B116","B1 (HEO)","31320","35680","Administrator","2","Policy"
"Department for International Development","Department for International Development","Policy & International","B116","B1D (Faststream)","26800","37195","Administrator","2","Policy"
"Department for International Development","Department for International Development","Policy & International","B116","B2 (EO)","23930","28210","Administrator","1","Policy"
"Department for International Development","Department for International Development","Policy & International","B116","C1 (AO)","19500","23275","Administrator","1","Policy"
"Department for International Development","Department for International Development","Policy & International","B117","A1 (G6)","61381","70290","Administrator","2","Policy"
"Department for International Development","Department for International Development","Policy & International","B117","A2 (G7)","49410","58160","Administrator","4","Policy"
"Department for International Development","Department for International Development","Policy & International","B117","A2(L) (SEO)","41218","45380","Administrator","2","Policy"
"Department for International Development","Department for International Development","Policy & International","B117","B1 (HEO)","31320","35680","Administrator","3.5","Policy"
"Department for International Development","Department for International Development","Policy & International","B117","B2 (EO)","23930","28210","Administrator","1.6","Policy"
"Department for International Development","Department for International Development","Policy & International","B117","C1 (AO)","19500","23275","Administrator","1","Policy"
"Department for International Development","Department for International Development","Policy & International","B119","A1 (G6)","61381","70290","Administrator","1","Policy"
"Department for International Development","Department for International Development","Policy & International","B119","A2 (G7)","49410","58160","Administrator","3.9","Policy"
"Department for International Development","Department for International Development","Policy & International","B119","A2(L) (SEO)","41218","45380","Administrator","2","Policy"
"Department for International Development","Department for International Development","Policy & International","B119","B1 (HEO)","31320","35680","Administrator","3.2","Policy"
"Department for International Development","Department for International Development","Policy & International","B119","B1D (Faststream)","26800","37195","Administrator","1","Policy"
"Department for International Development","Department for International Development","Policy & International","B119","B2 (EO)","23930","28210","Administrator","2.9","Policy"
"Department for International Development","Department for International Development","Policy & International","B119","C1 (AO)","19500","23275","Administrator","1","Policy"
"Department for International Development","Department for International Development","Policy & International","B122","A1 (G6)","61381","70290","Administrator","13.4","Policy"
"Department for International Development","Department for International Development","Policy & International","B122","A2 (G7)","49410","58160","Administrator","21.7","Policy"
"Department for International Development","Department for International Development","Policy & International","B122","A2(L) (SEO)","41218","45380","Administrator","2","Policy"
"Department for International Development","Department for International Development","Policy & International","B122","B1 (HEO)","31320","35680","Administrator","7","Policy"
"Department for International Development","Department for International Development","Policy & International","B122","B2 (EO)","23930","28210","Administrator","7.9","Policy"
"Department for International Development","Department for International Development","Policy & International","B122","C1 (AO)","19500","23275","Administrator","2","Policy"
"Department for International Development","Department for International Development","Policy & International","B123","A1 (G6)","61381","70290","Administrator","1","Policy"
"Department for International Development","Department for International Development","Policy & International","B125","A2 (G7)","49410","58160","Administrator","1","Policy"
"Department for International Development","Department for International Development","Policy & International","B125","B1 (HEO)","31320","35680","Administrator","1","Policy"
"Department for International Development","Department for International Development","Policy & International","B125","B2 (EO)","23930","28210","Administrator","1","Policy"
"Department for International Development","Department for International Development","Policy & International","B126","A1 (G6)","61381","70290","Administrator","11.4","Policy"
"Department for International Development","Department for International Development","Policy & International","B126","A2 (G7)","49410","58160","Administrator","12.9","Policy"
"Department for International Development","Department for International Development","Policy & International","B126","A2(L) (SEO)","41218","45380","Administrator","4","Policy"
"Department for International Development","Department for International Development","Policy & International","B126","B1 (HEO)","31320","35680","Administrator","4","Policy"
"Department for International Development","Department for International Development","Policy & International","B126","B1D (Faststream)","26800","37195","Administrator","1","Policy"
"Department for International Development","Department for International Development","Policy & International","B135","A1 (G6)","61381","70290","Administrator","4","Policy"
"Department for International Development","Department for International Development","Policy & International","B135","A2 (G7)","49410","58160","Administrator","9.9","Policy"
"Department for International Development","Department for International Development","Policy & International","B135","A2(L) (SEO)","41218","45380","Administrator","1","Policy"
"Department for International Development","Department for International Development","Policy & International","B135","B1 (HEO)","31320","35680","Administrator","2.7","Policy"
"Department for International Development","Department for International Development","Policy & International","B135","B1D (Faststream)","26800","37195","Administrator","1","Policy"
"Department for International Development","Department for International Development","Policy & International","B135","B2 (EO)","23930","28210","Administrator","0.6","Policy"
"Department for International Development","Department for International Development","Policy & International","B135","C1 (AO)","19500","23275","Administrator","1","Policy"
"Department for International Development","Department for International Development","Policy & International","B136","A1 (G6)","61381","70290","Administrator","3.8","Policy"
"Department for International Development","Department for International Development","Policy & International","B136","A2 (G7)","49410","58160","Administrator","4.9","Policy"
"Department for International Development","Department for International Development","Policy & International","B136","B1 (HEO)","31320","35680","Administrator","1","Policy"
"Department for International Development","Department for International Development","Policy & International","B136","B1D (Faststream)","26800","37195","Administrator","1","Policy"
"Department for International Development","Department for International Development","Policy & International","B136","C1 (AO)","19500","23275","Administrator","1","Policy"
"Department for International Development","Department for International Development","Policy & International","B43","A1 (G6)","61381","70290","Administrator","1","Policy"
"Department for International Development","Department for International Development","Policy & International","B43","A2 (G7)","49410","58160","Administrator","4","Policy"
"Department for International Development","Department for International Development","Policy & International","B43","A2(L) (SEO)","41218","45380","Administrator","2","Policy"
"Department for International Development","Department for International Development","Policy & International","B50","A1 (G6)","61381","70290","Administrator","2.6","Policy"
"Department for International Development","Department for International Development","Policy & International","B50","A2 (G7)","49410","58160","Administrator","7.2","Policy"
"Department for International Development","Department for International Development","Policy & International","B50","B1 (HEO)","31320","35680","Administrator","2","Policy"
"Department for International Development","Department for International Development","Policy & International","B50","B1D (Faststream)","26800","37195","Administrator","2","Policy"
"Department for International Development","Department for International Development","Policy & International","B50","C1 (AO)","19500","23275","Administrator","1","Policy"
"Department for International Development","Department for International Development","Policy & International","B58","A1 (G6)","61381","70290","Administrator","5.8","Policy"
"Department for International Development","Department for International Development","Policy & International","B58","A2 (G7)","49410","58160","Administrator","14.2","Policy"
"Department for International Development","Department for International Development","Policy & International","B58","A2(L) (SEO)","41218","45380","Administrator","6","Policy"
"Department for International Development","Department for International Development","Policy & International","B58","B1 (HEO)","31320","35680","Administrator","2.8","Policy"
"Department for International Development","Department for International Development","Policy & International","B58","B1D (Faststream)","26800","37195","Administrator","2","Policy"
"Department for International Development","Department for International Development","Policy & International","B58","B2 (EO)","23930","28210","Administrator","3","Policy"
"Department for International Development","Department for International Development","Policy & International","B58","C1 (AO)","19500","23275","Administrator","1","Policy"
"Department for International Development","Department for International Development","Policy & International","B59","A1 (G6)","61381","70290","Administrator","3.9","Policy"
"Department for International Development","Department for International Development","Policy & International","B59","A2 (G7)","49410","58160","Administrator","6","Policy"
"Department for International Development","Department for International Development","Policy & International","B59","A2(L) (SEO)","41218","45380","Administrator","1","Policy"
"Department for International Development","Department for International Development","Policy & International","B59","B1 (HEO)","31320","35680","Administrator","3","Policy"
"Department for International Development","Department for International Development","Policy & International","B59","B1D (Faststream)","26800","37195","Administrator","2","Policy"
"Department for International Development","Department for International Development","Policy & International","B59","B2 (EO)","23930","28210","Administrator","2.9","Policy"
"Department for International Development","Department for International Development","Policy & International","B59","C1 (AO)","19500","23275","Administrator","2","Policy"
"Department for International Development","Department for International Development","Policy & International","B80","A2 (G7)","49410","58160","Administrator","1","Policy"
"Department for International Development","Department for International Development","Policy & International","B87","A1 (G6)","61381","70290","Administrator","3","Policy"
"Department for International Development","Department for International Development","Policy & International","B87","A2 (G7)","49410","58160","Administrator","5","Policy"
"Department for International Development","Department for International Development","Policy & International","B87","B1 (HEO)","31320","35680","Administrator","1","Policy"
"Department for International Development","Department for International Development","Policy & International","B87","B1D (Faststream)","26800","37195","Administrator","2","Policy"
"Department for International Development","Department for International Development","Policy & International","B87","B2 (EO)","23930","28210","Administrator","2","Policy"
"Department for International Development","Department for International Development","Policy & International","B87","C1 (AO)","19500","23275","Administrator","1","Policy"
"Department for International Development","Department for International Development","Policy & International","B99","A1 (G6)","61381","70290","Administrator","1","Policy"
"Department for International Development","Department for International Development","Policy & International","B99","A2 (G7)","49410","58160","Administrator","6","Policy"
"Department for International Development","Department for International Development","Policy & International","B99","A2(L) (SEO)","41218","45380","Administrator","2","Policy"
"Department for International Development","Department for International Development","Policy & International","B99","B1 (HEO)","31320","35680","Administrator","3","Policy"
"Department for International Development","Department for International Development","Policy & International","B99","B1D (Faststream)","26800","37195","Administrator","1","Policy"
"Department for International Development","Department for International Development","Policy & International","B99","B2 (EO)","23930","28210","Administrator","1","Policy"
"Department for International Development","Department for International Development","TMG","B108","A1 (G6)","61381","70290","Administrator","5","Policy"
"Department for International Development","Department for International Development","TMG","B108","A2 (G7)","49410","58160","Administrator","1","Policy"
"Department for International Development","Department for International Development","TMG","B108","A2(L) (SEO)","41218","45380","Administrator","1","Policy"
"Department for International Development","Department for International Development","TMG","B108","B1 (HEO)","31320","35680","Administrator","8","Policy"
"Department for International Development","Department for International Development","TMG","B108","B1D (Faststream)","26800","37195","Administrator","4","Policy"
"Department for International Development","Department for International Development","TMG","B108","B2 (EO)","23930","28210","Administrator","9.8","Policy"
"Department for International Development","Department for International Development","TMG","B108","C1 (AO)","19500","23275","Administrator","5","Policy"
"Department for International Development","Department for International Development","TMG","B120","A1 (G6)","61381","70290","Administrator","1","Policy"
