,Parent Department,Organisation,Unit,Reporting Senior Post,Grade,Payscale Minimum (£),Payscale Maximum (£),Generic Job Title,Number of Posts in FTE,Professional/Occupational Group
88,"Department for Environment, Food and Rural Affairs",Natural England,Access and Engagement,16,Principal Adviser/Principal Specialist/Manager,39850,56100,Manager,1.0,Operational Delivery
89,"Department for Environment, Food and Rural Affairs",Natural England,Access and Engagement,16,Principal Adviser/Principal Specialist/Manager,39850,56100,Principal Adviser,1.0,Operational Delivery
90,"Department for Environment, Food and Rural Affairs",Natural England,Access and Engagement,16,Senior Adviser/Senior Specialist/Team Leader,30275,40550,Team Leader,7.0,Operational Delivery
91,"Department for Environment, Food and Rural Affairs",Natural England,Access and Engagement,16,Senior Adviser/Senior Specialist/Team Leader,30275,40550,Senior Adviser,4.82,Operational Delivery
92,"Department for Environment, Food and Rural Affairs",Natural England,Access and Engagement,16,Lead Adviser/Specialist/Group Coordinator,24120,32744,Group Coordinator,27.33,Operational Delivery
93,"Department for Environment, Food and Rural Affairs",Natural England,Access and Engagement,16,Lead Adviser/Specialist/Group Coordinator,24120,32744,Lead Adviser,15.33,Operational Delivery
94,"Department for Environment, Food and Rural Affairs",Natural England,Access and Engagement,16,Adviser,20500,26620,Adviser,35.46,Operational Delivery
95,"Department for Environment, Food and Rural Affairs",Natural England,Access and Engagement,16,Support Adviser,16500,20390,Support Adviser,41.03,Operational Delivery
96,"Department for Environment, Food and Rural Affairs",Natural England,Access and Engagement,16,Principal Adviser/Principal Specialist/Manager,39850,56100,Manager,3.0,Operational Delivery
97,"Department for Environment, Food and Rural Affairs",Natural England,Access and Engagement,16,Principal Adviser/Principal Specialist/Manager,39850,56100,Principal Adviser,6.0,Operational Delivery
98,"Department for Environment, Food and Rural Affairs",Natural England,Access and Engagement,16,Principal Adviser/Principal Specialist/Manager,39850,56100,Principal Specialist,1.0,Operational Delivery
99,"Department for Environment, Food and Rural Affairs",Natural England,Access and Engagement,16,Senior Adviser/Senior Specialist/Team Leader,30275,40550,Team Leader,6.0,Operational Delivery
100,"Department for Environment, Food and Rural Affairs",Natural England,Access and Engagement,16,Senior Adviser/Senior Specialist/Team Leader,30275,40550,Senior Adviser,18.39,Operational Delivery
101,"Department for Environment, Food and Rural Affairs",Natural England,Access and Engagement,16,Senior Adviser/Senior Specialist/Team Leader,30275,40550,Senior Specialist,3.53,Operational Delivery
102,"Department for Environment, Food and Rural Affairs",Natural England,Access and Engagement,16,Lead Adviser/Specialist/Group Coordinator,24120,32744,Group Coordinator,0.8,Operational Delivery
103,"Department for Environment, Food and Rural Affairs",Natural England,Access and Engagement,16,Lead Adviser/Specialist/Group Coordinator,24120,32744,Lead Adviser,43.11,Operational Delivery
104,"Department for Environment, Food and Rural Affairs",Natural England,Access and Engagement,16,Adviser,20500,26620,Adviser,14.81,Operational Delivery
105,"Department for Environment, Food and Rural Affairs",Natural England,Access and Engagement,16,Support Adviser,16500,20390,Support Adviser,1.0,Operational Delivery
106,"Department for Environment, Food and Rural Affairs",Natural England,External Affairs,23,Principal Adviser/Principal Specialist/Manager,39850,56100,Manager,3.91,Communications
107,"Department for Environment, Food and Rural Affairs",Natural England,External Affairs,23,Principal Adviser/Principal Specialist/Manager,39850,56100,Principal Adviser,5.0,Communications
108,"Department for Environment, Food and Rural Affairs",Natural England,External Affairs,23,Senior Adviser/Senior Specialist/Team Leader,30275,40550,Team Leader,1.0,Communications
109,"Department for Environment, Food and Rural Affairs",Natural England,External Affairs,23,Senior Adviser/Senior Specialist/Team Leader,30275,40550,Senior Adviser,17.13,Communications
110,"Department for Environment, Food and Rural Affairs",Natural England,External Affairs,23,Lead Adviser/Specialist/Group Coordinator,24120,32744,Lead Adviser,9.09,Communications
111,"Department for Environment, Food and Rural Affairs",Natural England,External Affairs,23,Adviser,20500,26620,Adviser,2.89,Communications
112,"Department for Environment, Food and Rural Affairs",Natural England,Landscape and Biodiversity,12,Principal Adviser/Principal Specialist/Manager,39850,56100,Manager,7.0,Operational Delivery
113,"Department for Environment, Food and Rural Affairs",Natural England,Landscape and Biodiversity,12,Principal Adviser/Principal Specialist/Manager,39850,56100,Principal Adviser,4.6,Operational Delivery
114,"Department for Environment, Food and Rural Affairs",Natural England,Landscape and Biodiversity,12,Principal Adviser/Principal Specialist/Manager,39850,56100,Principal Specialist,5.0,Operational Delivery
115,"Department for Environment, Food and Rural Affairs",Natural England,Landscape and Biodiversity,12,Senior Adviser/Senior Specialist/Team Leader,30275,40550,Team Leader,12.54,Operational Delivery
116,"Department for Environment, Food and Rural Affairs",Natural England,Landscape and Biodiversity,12,Senior Adviser/Senior Specialist/Team Leader,30275,40550,Senior Adviser,35.69,Operational Delivery
117,"Department for Environment, Food and Rural Affairs",Natural England,Landscape and Biodiversity,12,Senior Adviser/Senior Specialist/Team Leader,30275,40550,Senior Specialist,27.57,Operational Delivery
118,"Department for Environment, Food and Rural Affairs",Natural England,Landscape and Biodiversity,12,Lead Adviser/Specialist/Group Coordinator,24120,32744,Lead Adviser,34.49,Operational Delivery
119,"Department for Environment, Food and Rural Affairs",Natural England,Landscape and Biodiversity,12,Lead Adviser/Specialist/Group Coordinator,24120,32744,Specialist,14.92,Operational Delivery
120,"Department for Environment, Food and Rural Affairs",Natural England,Landscape and Biodiversity,12,Adviser,20500,26620,Adviser,4.0,Operational Delivery
121,"Department for Environment, Food and Rural Affairs",Natural England,Landscape and Biodiversity,12,Support Adviser,16500,20390,Support Adviser,2.6,Operational Delivery
122,"Department for Environment, Food and Rural Affairs",Natural England,Natural Capital and Sustainable Growth,24,Principal Adviser/Principal Specialist/Manager,39850,56100,Manager,1.0,Operational Delivery
123,"Department for Environment, Food and Rural Affairs",Natural England,Natural Capital and Sustainable Growth,24,Principal Adviser/Principal Specialist/Manager,39850,56100,Principal Adviser,2.0,Operational Delivery
124,"Department for Environment, Food and Rural Affairs",Natural England,Natural Capital and Sustainable Growth,24,Principal Adviser/Principal Specialist/Manager,39850,56100,Principal Specialist,4.67,Operational Delivery
125,"Department for Environment, Food and Rural Affairs",Natural England,Natural Capital and Sustainable Growth,24,Senior Adviser/Senior Specialist/Team Leader,30275,40550,Team Leader,1.0,Operational Delivery
126,"Department for Environment, Food and Rural Affairs",Natural England,Natural Capital and Sustainable Growth,24,Senior Adviser/Senior Specialist/Team Leader,30275,40550,Senior Adviser,2.0,Operational Delivery
127,"Department for Environment, Food and Rural Affairs",Natural England,Natural Capital and Sustainable Growth,24,Senior Adviser/Senior Specialist/Team Leader,30275,40550,Senior Specialist,4.43,Operational Delivery
