body_title,graph,senior_csv_filepath,junior_csv_filepath,xls_filepath,senior_posts_count,junior_posts_count
Tenant Services Authority,2011-09-30,data/dgu/csv-from-triplestore/tenant_services_authority-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/tenant_services_authority-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/tenant_services_authority-2011-09-30-organogram.xls,9,80
The British Museum,2011-09-30,data/dgu/csv-from-triplestore/the_british_museum-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/the_british_museum-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/the_british_museum-2011-09-30-organogram.xls,7,77
The Food and Environment Research Agency,2011-09-30,data/dgu/csv-from-triplestore/the_food_and_environment_research_agency-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/the_food_and_environment_research_agency-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/the_food_and_environment_research_agency-2011-09-30-organogram.xls,6,125
The Geffrye Museum,2011-09-30,data/dgu/csv-from-triplestore/the_geffrye_museum-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/the_geffrye_museum-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/the_geffrye_museum-2011-09-30-organogram.xls,1,21
The Insolvency Service,2011-09-30,data/dgu/csv-from-triplestore/the_insolvency_service-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/the_insolvency_service-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/the_insolvency_service-2011-09-30-organogram.xls,5,101
The National Gallery,2011-09-30,data/dgu/csv-from-triplestore/the_national_gallery-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/the_national_gallery-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/the_national_gallery-2011-09-30-organogram.xls,7,108
The National Museum of the Royal Navy,2011-09-30,data/dgu/csv-from-triplestore/the_national_museum_of_the_royal_navy-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/the_national_museum_of_the_royal_navy-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/the_national_museum_of_the_royal_navy-2011-09-30-organogram.xls,4,2
The Northern Lighthouse Board,2011-09-30,data/dgu/csv-from-triplestore/the_northern_lighthouse_board-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/the_northern_lighthouse_board-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/the_northern_lighthouse_board-2011-09-30-organogram.xls,4,86
The Pensions Advisory Service,2011-09-30,data/dgu/csv-from-triplestore/the_pensions_advisory_service-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/the_pensions_advisory_service-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/the_pensions_advisory_service-2011-09-30-organogram.xls,1,10
The Pensions Regulator,2011-09-30,data/dgu/csv-from-triplestore/the_pensions_regulator-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/the_pensions_regulator-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/the_pensions_regulator-2011-09-30-organogram.xls,89,92
The Wallace Collection,2011-09-30,data/dgu/csv-from-triplestore/the_wallace_collection-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/the_wallace_collection-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/the_wallace_collection-2011-09-30-organogram.xls,4,46
Thurrock Thames Gateway Development Corporation,2011-09-30,data/dgu/csv-from-triplestore/thurrock_thames_gateway_development_corporation-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/thurrock_thames_gateway_development_corporation-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/thurrock_thames_gateway_development_corporation-2011-09-30-organogram.xls,4,20
Training and Development Agency for Schools,2011-09-30,data/dgu/csv-from-triplestore/training_and_development_agency_for_schools-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/training_and_development_agency_for_schools-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/training_and_development_agency_for_schools-2011-09-30-organogram.xls,13,47
Transport Focus,2011-09-30,data/dgu/csv-from-triplestore/transport_focus-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/transport_focus-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/transport_focus-2011-09-30-organogram.xls,3,14
Treasury Solicitor's Department,2011-09-30,data/dgu/csv-from-triplestore/treasury_solicitors_department-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/treasury_solicitors_department-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/treasury_solicitors_department-2011-09-30-organogram.xls,69,248
Trinity House Lighthouse Service,2011-09-30,data/dgu/csv-from-triplestore/trinity_house_lighthouse_service-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/trinity_house_lighthouse_service-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/trinity_house_lighthouse_service-2011-09-30-organogram.xls,4,131
UK Anti-Doping,2011-09-30,data/dgu/csv-from-triplestore/uk_anti-doping-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/uk_anti-doping-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/uk_anti-doping-2011-09-30-organogram.xls,5,38
UK Border Agency,2011-09-30,data/dgu/csv-from-triplestore/uk_border_agency-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/uk_border_agency-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/uk_border_agency-2011-09-30-organogram.xls,82,463
UK Commission for Employment and Skills,2011-09-30,data/dgu/csv-from-triplestore/uk_commission_for_employment_and_skills-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/uk_commission_for_employment_and_skills-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/uk_commission_for_employment_and_skills-2011-09-30-organogram.xls,6,46
UK Debt Management Office,2011-09-30,data/dgu/csv-from-triplestore/uk_debt_management_office-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/uk_debt_management_office-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/uk_debt_management_office-2011-09-30-organogram.xls,4,92
UK Sport,2011-09-30,data/dgu/csv-from-triplestore/uk_sport-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/uk_sport-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/uk_sport-2011-09-30-organogram.xls,7,52
United Kingdom Atomic Energy Authority,2011-09-30,data/dgu/csv-from-triplestore/united_kingdom_atomic_energy_authority-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/united_kingdom_atomic_energy_authority-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/united_kingdom_atomic_energy_authority-2011-09-30-organogram.xls,10,249
United Kingdom Hydrographic Office,2011-09-30,data/dgu/csv-from-triplestore/united_kingdom_hydrographic_office-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/united_kingdom_hydrographic_office-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/united_kingdom_hydrographic_office-2011-09-30-organogram.xls,5,42
Valuation Office Agency,2011-09-30,data/dgu/csv-from-triplestore/valuation_office_agency-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/valuation_office_agency-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/valuation_office_agency-2011-09-30-organogram.xls,12,3815
Vehicle Certification Agency,2011-09-30,data/dgu/csv-from-triplestore/vehicle_certification_agency-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/vehicle_certification_agency-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/vehicle_certification_agency-2011-09-30-organogram.xls,1,7
Vehicle and Operator Services Agency,2011-09-30,data/dgu/csv-from-triplestore/vehicle_and_operator_services_agency-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/vehicle_and_operator_services_agency-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/vehicle_and_operator_services_agency-2011-09-30-organogram.xls,3,39
Veterinary Medicines Directorate,2011-09-30,data/dgu/csv-from-triplestore/veterinary_medicines_directorate-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/veterinary_medicines_directorate-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/veterinary_medicines_directorate-2011-09-30-organogram.xls,3,63
Victoria & Albert Museum,2011-09-30,data/dgu/csv-from-triplestore/victoria_albert_museum-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/victoria_albert_museum-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/victoria_albert_museum-2011-09-30-organogram.xls,5,35
Visit England,2011-09-30,data/dgu/csv-from-triplestore/visit_england-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/visit_england-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/visit_england-2011-09-30-organogram.xls,5,12
West Northamptonshire Development Corporation,2011-09-30,data/dgu/csv-from-triplestore/west_northamptonshire_development_corporation-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/west_northamptonshire_development_corporation-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/west_northamptonshire_development_corporation-2011-09-30-organogram.xls,4,27
Young People's Learning Agency,2011-09-30,data/dgu/csv-from-triplestore/young_peoples_learning_agency-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/young_peoples_learning_agency-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/young_peoples_learning_agency-2011-09-30-organogram.xls,24,105
Youth Justice Board,2011-09-30,data/dgu/csv-from-triplestore/youth_justice_board-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/youth_justice_board-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/youth_justice_board-2011-09-30-organogram.xls,15,164
Asset Protection Agency,2012-03-31,data/dgu/csv-from-triplestore/asset_protection_agency-2012-03-31-junior.csv,data/dgu/csv-from-triplestore/asset_protection_agency-2012-03-31-junior.csv,data/dgu/xls-from-triplestore/asset_protection_agency-2012-03-31-organogram.xls,13,6
Audit Commission,2012-03-31,data/dgu/csv-from-triplestore/audit_commission-2012-03-31-junior.csv,data/dgu/csv-from-triplestore/audit_commission-2012-03-31-junior.csv,data/dgu/xls-from-triplestore/audit_commission-2012-03-31-organogram.xls,21,112
Ministry of Defence,2012-03-31,data/dgu/csv-from-triplestore/ministry_of_defence-2012-03-31-junior.csv,data/dgu/csv-from-triplestore/ministry_of_defence-2012-03-31-junior.csv,data/dgu/xls-from-triplestore/ministry_of_defence-2012-03-31-organogram.xls,598,7460
Home Office,2012-09-30,data/dgu/csv-from-triplestore/home_office-2012-09-30-junior.csv,data/dgu/csv-from-triplestore/home_office-2012-09-30-junior.csv,data/dgu/xls-from-triplestore/home_office-2012-09-30-organogram.xls,201,933
Human Tissue Authority,2012-09-30,data/dgu/csv-from-triplestore/human_tissue_authority-2012-09-30-junior.csv,data/dgu/csv-from-triplestore/human_tissue_authority-2012-09-30-junior.csv,data/dgu/xls-from-triplestore/human_tissue_authority-2012-09-30-organogram.xls,5,14
Ministry of Defence,2012-09-30,data/dgu/csv-from-triplestore/ministry_of_defence-2012-09-30-junior.csv,data/dgu/csv-from-triplestore/ministry_of_defence-2012-09-30-junior.csv,data/dgu/xls-from-triplestore/ministry_of_defence-2012-09-30-organogram.xls,535,6453
Ministry of Defence,2013-03-31,data/dgu/csv-from-triplestore/ministry_of_defence-2013-03-31-junior.csv,data/dgu/csv-from-triplestore/ministry_of_defence-2013-03-31-junior.csv,data/dgu/xls-from-triplestore/ministry_of_defence-2013-03-31-organogram.xls,189,1493
Ministry of Defence,2013-09-30,data/dgu/csv-from-triplestore/ministry_of_defence-2013-09-30-junior.csv,data/dgu/csv-from-triplestore/ministry_of_defence-2013-09-30-junior.csv,data/dgu/xls-from-triplestore/ministry_of_defence-2013-09-30-organogram.xls,599,4449
Ministry of Defence,2014-03-31,data/dgu/csv-from-triplestore/ministry_of_defence-2014-03-31-junior.csv,data/dgu/csv-from-triplestore/ministry_of_defence-2014-03-31-junior.csv,data/dgu/xls-from-triplestore/ministry_of_defence-2014-03-31-organogram.xls,518,3440
National Army Museum,2014-03-31,data/dgu/csv-from-triplestore/national_army_museum-2014-03-31-junior.csv,data/dgu/csv-from-triplestore/national_army_museum-2014-03-31-junior.csv,data/dgu/xls-from-triplestore/national_army_museum-2014-03-31-organogram.xls,5,29
United Kingdom Hydrographic Office,2014-03-31,data/dgu/csv-from-triplestore/united_kingdom_hydrographic_office-2014-03-31-junior.csv,data/dgu/csv-from-triplestore/united_kingdom_hydrographic_office-2014-03-31-junior.csv,data/dgu/xls-from-triplestore/united_kingdom_hydrographic_office-2014-03-31-organogram.xls,3,583
Ministry of Defence,2014-09-30,data/dgu/csv-from-triplestore/ministry_of_defence-2014-09-30-junior.csv,data/dgu/csv-from-triplestore/ministry_of_defence-2014-09-30-junior.csv,data/dgu/xls-from-triplestore/ministry_of_defence-2014-09-30-organogram.xls,629,4580
Ministry of Defence,2015-03-31,data/dgu/csv-from-triplestore/ministry_of_defence-2015-03-31-junior.csv,data/dgu/csv-from-triplestore/ministry_of_defence-2015-03-31-junior.csv,data/dgu/xls-from-triplestore/ministry_of_defence-2015-03-31-organogram.xls,626,4651
Student Loans Company Limited,2015-03-31,data/dgu/csv-from-triplestore/student_loans_company_limited-2015-03-31-junior.csv,data/dgu/csv-from-triplestore/student_loans_company_limited-2015-03-31-junior.csv,data/dgu/xls-from-triplestore/student_loans_company_limited-2015-03-31-organogram.xls,6,403
United Kingdom Hydrographic Office,2015-03-31,data/dgu/csv-from-triplestore/united_kingdom_hydrographic_office-2015-03-31-junior.csv,data/dgu/csv-from-triplestore/united_kingdom_hydrographic_office-2015-03-31-junior.csv,data/dgu/xls-from-triplestore/united_kingdom_hydrographic_office-2015-03-31-organogram.xls,4,431
Ministry of Defence,2015-09-30,data/dgu/csv-from-triplestore/ministry_of_defence-2015-09-30-junior.csv,data/dgu/csv-from-triplestore/ministry_of_defence-2015-09-30-junior.csv,data/dgu/xls-from-triplestore/ministry_of_defence-2015-09-30-organogram.xls,654,4653
Ministry of Defence,2016-03-31,data/dgu/csv-from-triplestore/ministry_of_defence-2016-03-31-junior.csv,data/dgu/csv-from-triplestore/ministry_of_defence-2016-03-31-junior.csv,data/dgu/xls-from-triplestore/ministry_of_defence-2016-03-31-organogram.xls,705,6350
