name,title,graphs,uris
department-of-education,Department of Education,2011-03-31 2011-03-31 2011-09-30 2012-03-31 2012-09-30 2014-03-31 2014-09-30 2015-03-31 2015-09-30,http://reference.data.gov.uk/id/department/dfe http://reference.data.gov.uk/id/department/dfe http://reference.data.gov.uk/id/department/dfe http://reference.data.gov.uk/id/department/dfe http://reference.data.gov.uk/id/public-body/department-for-education http://reference.data.gov.uk/id/public-body/department-for-education http://reference.data.gov.uk/id/public-body/department-for-education http://reference.data.gov.uk/id/public-body/department-for-education http://reference.data.gov.uk/id/public-body/department-for-education
department-of-energy-and-climate-change,Department of Energy and Climate Change,2011-03-31 2011-03-31 2011-03-31 2011-09-30 2012-03-31 2012-09-30 2013-03-31 2013-09-30,http://reference.data.gov.uk/id/department/decc http://reference.data.gov.uk/id/department/decc http://reference.data.gov.uk/id/department/decc http://reference.data.gov.uk/id/department/decc http://reference.data.gov.uk/id/department/decc http://reference.data.gov.uk/id/department/decc http://reference.data.gov.uk/id/department/decc http://reference.data.gov.uk/id/department/decc
department-of-health,Department of Health,2011-03-31 2011-03-31 2011-09-30 2012-03-31 2012-09-30 2013-03-31 2013-09-30 2014-03-31 2014-09-30 2015-03-31 2015-09-30,http://reference.data.gov.uk/id/department/dh http://reference.data.gov.uk/id/department/dh http://reference.data.gov.uk/id/department/dh http://reference.data.gov.uk/id/department/dh http://reference.data.gov.uk/id/department/dh http://reference.data.gov.uk/id/department/dh http://reference.data.gov.uk/id/department/dh http://reference.data.gov.uk/id/department/dh http://reference.data.gov.uk/id/department/dh http://reference.data.gov.uk/id/department/dh http://reference.data.gov.uk/id/department/dh
driver-and-vehicle-licensing-agency,Driver and Vehicle Licensing Agency,2011-03-31 2011-09-30 2012-03-31 2012-09-30 2014-03-31 2015-03-31 2015-09-30,http://reference.data.gov.uk/id/public-body/driver-vehicle-licensing-agency http://reference.data.gov.uk/id/public-body/dvla http://reference.data.gov.uk/id/public-body/dvla http://reference.data.gov.uk/id/public-body/dvla http://reference.data.gov.uk/id/public-body/dvla http://reference.data.gov.uk/id/public-body/dvla http://reference.data.gov.uk/id/public-body/dvla
driver-vehicle-standards-agency,Driver & Vehicle Standards Agency,2014-03-31 2015-03-31 2015-09-30,http://reference.data.gov.uk/id/public-body/dvsa-v http://reference.data.gov.uk/id/public-body/driver-vehicle-standards-agency http://reference.data.gov.uk/id/public-body/driver-vehicle-standards-agency
driving-standards-agency,Driving Standards Agency,2011-03-31 2011-09-30 2012-03-31 2012-09-30 2013-03-31 2014-03-31,http://reference.data.gov.uk/id/public-body/driving-standards-agency http://reference.data.gov.uk/id/public-body/driving-standards-agency http://reference.data.gov.uk/id/public-body/driving-standards-agency http://reference.data.gov.uk/id/public-body/driving-standards-agency http://reference.data.gov.uk/id/public-body/driving-standards-agency http://reference.data.gov.uk/id/public-body/driving-standards-agency
economic-and-social-research-council,Economic and Social Research Council,2013-09-30,http://reference.data.gov.uk/id/public-body/economic-social-research-council
engineering-and-physical-sciences-research-council,Engineering and Physical Sciences Research Council,2011-03-31 2011-09-30 2012-03-31 2012-09-30 2013-09-30,http://reference.data.gov.uk/id/public-body/engineering-physical-sciences-research-council http://reference.data.gov.uk/id/public-body/engineering-physical-sciences-research-council http://reference.data.gov.uk/id/public-body/engineering-physical-sciences-research-council http://reference.data.gov.uk/id/public-body/engineering-physical-sciences-research-council http://reference.data.gov.uk/id/public-body/engineering-physical-sciences-research-council
engineering-construction-industry-training-board,Engineering Construction Industry Training Board,2011-09-30 2013-03-31,http://reference.data.gov.uk/id/public-body/ecitb http://reference.data.gov.uk/id/public-body/ecitb
english-heritage,English Heritage,2011-03-31 2011-09-30 2012-03-31 2012-09-30 2013-03-31 2013-09-30,http://reference.data.gov.uk/id/public-body/english-heritage http://reference.data.gov.uk/id/public-body/english-heritage http://reference.data.gov.uk/id/public-body/english-heritage http://reference.data.gov.uk/id/public-body/english-heritage http://reference.data.gov.uk/id/public-body/english-heritage http://reference.data.gov.uk/id/public-body/english-heritage
environment-agency,Environment Agency,2011-03-31 2011-09-30 2012-03-31 2012-09-30 2013-09-30 2015-03-31,http://reference.data.gov.uk/id/public-body/environment-agency http://reference.data.gov.uk/id/public-body/environment-agency http://reference.data.gov.uk/id/public-body/environment-agency http://reference.data.gov.uk/id/public-body/environment-agency http://reference.data.gov.uk/id/public-body/environment-agency http://reference.data.gov.uk/id/public-body/environment-agency
equality-and-human-rights-commission,Equality and Human Rights Commission,2011-03-31 2011-09-30 2012-03-31 2012-09-30 2013-03-31 2013-09-30 2014-03-31,http://reference.data.gov.uk/id/public-body/commission-for-equalities-and-human-rights-known-a http://reference.data.gov.uk/id/public-body/commission-for-equalities-and-human-rights-known-a http://reference.data.gov.uk/id/public-body/commission-for-equality-and-human-rights-known-as-the-equality-and-human-rights-commission http://reference.data.gov.uk/id/public-body/commission-for-equality-and-human-rights-known-as-the-equality-and-human-rights-commission http://reference.data.gov.uk/id/public-body/commission-for-equality-and-human-rights-known-as-the-equality-and-human-rights-commission http://reference.data.gov.uk/id/public-body/commission-for-equality-and-human-rights-known-as-the-equality-and-human-rights-commission http://reference.data.gov.uk/id/public-body/commission-for-equality-and-human-rights-known-as-the-equality-and-human-rights-commission
fco-services,FCO Services,2011-03-31,http://reference.data.gov.uk/id/public-body/fco-services
