,Parent Department,Organisation,Unit,Reporting Senior Post,Grade,Payscale Minimum (£),Payscale Maximum (£),Generic Job Title,Number of Posts in FTE,Professional/Occupational Group
149,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,Norwich Biological Instititutes Partnership,JIC1,D,27792,34002,Estates Maintenance Engineer,5.0,Property and asset management
150,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,Norwich Biological Instititutes Partnership,JIC1,D,27792,34002,Finance Officer,4.0,Finance
151,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,Norwich Biological Instititutes Partnership,JIC1,D,27792,34002,HR Officer,0.1,Human Resources
152,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,Norwich Biological Instititutes Partnership,JIC1,D,27792,34002,Knowledge Information Management Manager,0.8,Knowledge and Information Management (KIM)
153,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,Norwich Biological Instititutes Partnership,JIC1,D,27792,34002,Procurement Officer,1.0,Procurement
154,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,Norwich Biological Instititutes Partnership,JIC1,C,22504,26958,HR Support Officer,1.4,Human Resources
155,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,Norwich Biological Instititutes Partnership,JIC1,C,22504,26958,Finance Support Officer,4.0,Finance
156,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,Norwich Biological Instititutes Partnership,JIC1,C,22504,26958,IT Support Officer,6.0,Information Technology
157,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,Norwich Biological Instititutes Partnership,JIC1,C,22504,26958,Procurement Support Officer ,1.0,Procurement
158,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,Norwich Biological Instititutes Partnership,JIC1,C,22504,26958,Estates Maintenance,11.0,Property and asset management
159,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,Norwich Biological Instititutes Partnership,JIC1,C,22504,26958,Administrator/Team Leader,3.0,Operational Delivery
160,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,Norwich Biological Instititutes Partnership,JIC1,C,22504,26958,Knowledge Information Management Support Officer,1.8,Knowledge and Information Management (KIM)
161,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,Norwich Biological Instititutes Partnership,JIC1,C,22504,26958,Communications Support Officer,1.5,Communications
162,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,Norwich Biological Instititutes Partnership,JIC1,B,17493,20956,Operations Support Officer,5.4,Operational Delivery
163,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,Norwich Biological Instititutes Partnership,JIC1,B,17493,20956,Admin Assistant,4.4,Finance
164,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,Norwich Biological Instititutes Partnership,JIC1,B,17493,20956,Stores Assistants,1.0,Procurement
165,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,Norwich Biological Instititutes Partnership,JIC1,B,17493,20956,Admin Assistant,0.1,Knowledge and Information Management (KIM)
166,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,Norwich Biological Instititutes Partnership,JIC1,A,14650,16847,Admin Assistant,15.3,Operational Delivery
167,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,The Genome Analysis Centre,TGAC1,G,54565,69721,Programme Leader,1.0,Operational Delivery
168,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,The Genome Analysis Centre,TGAC1,F,42769,54649,Senior Scientist,4.0,Science and Engineering
169,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,The Genome Analysis Centre,TGAC1,E,35282,43164,Scientist,3.8,Science and Engineering
170,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,The Genome Analysis Centre,TGAC1,D,27792,34002,Post Doctoral Scientist,10.8,Science and Engineering
171,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,The Genome Analysis Centre,TGAC1,D,27792,34002,Science Support,2.0,Operational Delivery
172,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,The Genome Analysis Centre,TGAC1,C,22504,26958,Operations Support Officer,4.0,Science and Engineering
173,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,The Pirbright Institute,IAH1,A,14650,16847,Admin Assistant,2.0,Operational Delivery
174,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,The Pirbright Institute,IAH1,A,14650,16847,Cleaner,8.5,Operational Delivery
175,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,The Pirbright Institute,IAH1,A,14650,16847,Admin Assistant,1.0,Procurement
176,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,The Pirbright Institute,IAH1,A,14650,16847,Animal Technician,0.1,Programme and Project Management (PPM)
177,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,The Pirbright Institute,IAH1,A,14650,16847,Engineer,5.0,Programme and Project Management (PPM)
178,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,The Pirbright Institute,IAH1,A,14650,16847,Scientist,8.0,Science and Engineering
179,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,The Pirbright Institute,IAH1,B,17493,20956,HR Officer,0.1,Human Resources
180,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,The Pirbright Institute,IAH1,B,17493,20956,Admin Assistant,1.2,Operational Delivery
181,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,The Pirbright Institute,IAH1,B,17493,20956,Cleaner,1.8,Operational Delivery
182,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,The Pirbright Institute,IAH1,B,17493,20956,Microbiological Services Technician,1.0,Operational Delivery
183,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,The Pirbright Institute,IAH1,B,17493,20956,Health and Safety Officer,1.0,Operational Delivery
184,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,The Pirbright Institute,IAH1,B,17493,20956,Admin Assistant,2.0,Procurement
185,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,The Pirbright Institute,IAH1,B,17493,20956,Animal Technician,21.0,Property and asset management
186,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,The Pirbright Institute,IAH1,B,17493,20956,Engineer,0.1,Property and asset management
187,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,The Pirbright Institute,IAH1,B,17493,20956,Scientist,1.8,Science and Engineering
188,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,The Pirbright Institute,IAH1,C,22504,26958,Finance Officer,7.0,Finance
189,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,The Pirbright Institute,IAH1,C,22504,26958,HR Officer,1.6,Human Resources
190,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,The Pirbright Institute,IAH1,C,22504,26958,IT Support Officer,2.6,Information Technology
191,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,The Pirbright Institute,IAH1,C,22504,26958,Librarian,2.0,Knowledge and Information Management (KIM)
192,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,The Pirbright Institute,IAH1,C,22504,26958,Admin Assistant,15.6,Operational Delivery
193,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,The Pirbright Institute,IAH1,C,22504,26958,Biosecurity Officer,1.0,Operational Delivery
194,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,The Pirbright Institute,IAH1,C,22504,26958,Bioimaging Officer,1.0,Operational Delivery
195,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,The Pirbright Institute,IAH1,C,22504,26958,Cleaner,0.8,Operational Delivery
196,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,The Pirbright Institute,IAH1,C,22504,26958,Microbiological Services Technician,4.0,Operational Delivery
197,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,The Pirbright Institute,IAH1,C,22504,26958,Admin Assistant,5.0,Property and asset management
198,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,The Pirbright Institute,IAH1,C,22504,26958,Animal Technician,17.3,Property and asset management
199,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,The Pirbright Institute,IAH1,C,22504,26958,Engineer,23.7,Property and asset management
200,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,The Pirbright Institute,IAH1,C,22504,26958,Project Manager,1.0,Property and asset management
201,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,The Pirbright Institute,IAH1,C,22504,26958,Scientist,31.5,Science and Engineering
202,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,The Pirbright Institute,IAH1,D,27792,34002,Communications Manager,2.0,Communications
203,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,The Pirbright Institute,IAH1,D,27792,34002,HR Officer,4.0,Human Resources
204,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,The Pirbright Institute,IAH1,D,27792,34002,IT Manager,4.0,Information Technology
205,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,The Pirbright Institute,IAH1,D,27792,34002,Administrator,2.0,Operational Delivery
206,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,The Pirbright Institute,IAH1,D,27792,34002,Biosecurity Officer,1.0,Operational Delivery
207,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,The Pirbright Institute,IAH1,D,27792,34002,Head of Branch/Unit,1.0,Operational Delivery
208,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,The Pirbright Institute,IAH1,D,27792,34002,Health and Safety Officer,0.5,Operational Delivery
209,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,The Pirbright Institute,IAH1,D,27792,34002,Engineer,13.0,Property and asset management
210,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,The Pirbright Institute,IAH1,D,27792,34002,Scientist,51.4,Science and Engineering
211,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,The Pirbright Institute,IAH1,E,35282,43164,Senior Communications Manager,0.5,Communications
212,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,The Pirbright Institute,IAH1,E,35282,43164,Finance Officer,3.9,Finance
