,Parent Department,Organisation,Unit,Reporting Senior Post,Grade,Payscale Minimum (£),Payscale Maximum (£),Generic Job Title,Number of Posts in FTE,Professional/Occupational Group
124,Ministry of Justice,Youth Justice Board,Secure Accommodation Division,14,SEO (London),36973,42557,Service Assurance Monitor,1.0,Operational Delivery
125,Ministry of Justice,Youth Justice Board,Chief Executive Division,11,AO (London),19538,21677,Personal Assistant to the Chair,1.0,Operational Delivery
126,Ministry of Justice,Youth Justice Board,Chief Executive Division,11,HEO (London),29365,34009,Administrative Officer,1.0,Operational Delivery
127,Ministry of Justice,Youth Justice Board,Chief Executive Division,11,SEO (London),36973,42557,Head of Chief Executive's Office/Business Manager,1.0,Operational Delivery
128,Ministry of Justice,Youth Justice Board,Chief Executive Division,11,G7 (London),49526,60573,Youth Justice Strategy SEO,7.0,Operational Delivery
129,Ministry of Justice,Youth Justice Board,YJB Cymru,11,EO (National),20235,23802,Divisional Support Officer,1.0,Operational Delivery
130,Ministry of Justice,Youth Justice Board,YJB Cymru,11,G6 (National),54705,67699,Head of Wales,1.0,Operational Delivery
131,Ministry of Justice,Youth Justice Board,YJB Cymru,11,G7 (National),44656,55264,Head of Youth Justice Oversight and Support - Wales,1.0,Operational Delivery
132,Ministry of Justice,Youth Justice Board,YJB Cymru,11,G7 (National),44656,55264,Head of Effective Practice and Innovation - Wales,1.0,Operational Delivery
133,Ministry of Justice,Youth Justice Board,YJB Cymru,11,HEO (National),25297,29757,Youth Justice Oversight and Support Adviser - Wales,1.0,Operational Delivery
134,Ministry of Justice,Youth Justice Board,YJB Cymru,11,HEO (National),25297,29757,"Adviser, Effective Practice and Innovation - Wales",1.0,Operational Delivery
135,Ministry of Justice,Youth Justice Board,YJB Cymru,11,HEO (National),25297,29757,"Adviser, Policy and Planning - Wales",4.0,Operational Delivery
136,Ministry of Justice,Youth Justice Board,YJB Cymru,11,SEO (National),32602,37964,"Senior Adviser, Policy and Planning - Wales",2.1,Operational Delivery
137,Ministry of Justice,Youth Justice Board,YJB Cymru,11,SEO (National),32602,37964,Youth Justice Oversight and Support Senior Adviser - Wales,1.0,Operational Delivery
138,Ministry of Justice,Youth Justice Board,Secure Accommodation,14,EO (London),24093,27809,Casework Officer,1.0,Operational Delivery
139,Ministry of Justice,Youth Justice Board,Secure Accommodation,14,HEO (London),29365,34009,Placement Manager,1.0,Operational Delivery
140,Ministry of Justice,Youth Justice Board,Secure Accommodation,14,AO (London),19538,21677,Casework Support Officer,1.0,Operational Delivery
141,Ministry of Justice,Youth Justice Board,Secure Accommodation,14,G7 (London),49526,60573,Head of Operations & Strategic Development,1.0,Operational Delivery
142,Ministry of Justice,Youth Justice Board,Secure Accommodation,14,SEO (London),36973,42557,Casework Manager,10.56,Operational Delivery
143,Ministry of Justice,Youth Justice Board,Secure Accommodation,14,G6 (London),59991,73524,Head of Placements,1.0,Operational Delivery
144,Ministry of Justice,Youth Justice Board,Secure Accommodation,14,EO (London),24093,27809,Development Officer,1.0,Operational Delivery
145,Ministry of Justice,Youth Justice Board,Secure Accommodation,14,SEO (London),36973,42557,Systems Manager,1.0,Operational Delivery
146,Ministry of Justice,Youth Justice Board,Secure Accommodation,14,SEO (London),36973,42557,Placement Team Manager,1.0,Operational Delivery
147,Ministry of Justice,Youth Justice Board,Secure Accommodation,14,EO (London),24093,27809,Project Support Officer,1.0,Operational Delivery
148,Ministry of Justice,Youth Justice Board,Secure Accommodation,14,AO (London),19538,21677,Administrator,1.0,Operational Delivery
149,Ministry of Justice,Youth Justice Board,Secure Accommodation,14,SEO (London),36973,42557,Project Manager - Planning,1.0,Operational Delivery
150,Ministry of Justice,Youth Justice Board,Secure Accommodation,14,HEO (London),29365,34009,Assistant Behaviour Management & Safeguarding Manager,1.0,Operational Delivery
151,Ministry of Justice,Youth Justice Board,Secure Accommodation,14,SEO (London),36973,42557,Project Manager,1.0,Operational Delivery
152,Ministry of Justice,Youth Justice Board,Secure Accommodation,14,G7 (London),49526,60573,Head of Secure Estate Business Change,1.0,Operational Delivery
153,Ministry of Justice,Youth Justice Board,Secure Accommodation,14,EO (London),24093,27809,Behaviour Management and Safeguarding Support Officer,1.0,Operational Delivery
154,Ministry of Justice,Youth Justice Board,Secure Accommodation,14,EO (London),24093,27809,Business Development Officer,1.0,Operational Delivery
155,Ministry of Justice,Youth Justice Board,Secure Accommodation,14,HEO (London),29365,34009,"Assistant Project Manager, Team 2",1.0,Operational Delivery
156,Ministry of Justice,Youth Justice Board,Secure Accommodation,14,SEO (London),36973,42557,Regime Development Manager,4.64,Operational Delivery
157,Ministry of Justice,Youth Justice Board,Secure Accommodation,14,SEO (London),36973,42557,Project Manger - Secure Estate Strategy,1.0,Operational Delivery
158,Ministry of Justice,Youth Justice Board,Secure Accommodation,14,G7 (London),49526,60573,Head of Behaviour Management & Safeguarding,1.0,Operational Delivery
159,Ministry of Justice,Youth Justice Board,Secure Accommodation,14,SEO (London),36973,42557,Project Manager - Operational Workstreams,1.0,Operational Delivery
160,Ministry of Justice,Youth Justice Board,Secure Accommodation,14,G6 (London),59991,73524,Deputy Director of Secure Accommodation,1.0,Operational Delivery
161,Ministry of Justice,Youth Justice Board,Secure Accommodation,14,HEO (London),29365,34009,Assistant Regime Development Manager,1.0,Operational Delivery
162,Ministry of Justice,Youth Justice Board,Secure Accommodation,14,HEO (London),29365,34009,Strategic Planning Officer,3.0,Operational Delivery
163,Ministry of Justice,Youth Justice Board,Secure Accommodation,14,EO (London),24093,27809,Development Officer,1.0,Operational Delivery
164,Ministry of Justice,Youth Justice Board,Secure Accommodation,14,SEO (London),36973,42557,Systems Manager,1.0,Operational Delivery
165,Ministry of Justice,Youth Justice Board,Secure Accommodation,14,SEO (London),36973,42557,Placement Team Manager,1.0,Operational Delivery
166,Ministry of Justice,Youth Justice Board,Secure Accommodation,14,EO (London),24093,27809,Project Support Officer,3.0,Operational Delivery
167,Ministry of Justice,Youth Justice Board,Secure Accommodation,14,AO (London),19538,21677,Administrator,1.0,Operational Delivery
168,Ministry of Justice,Youth Justice Board,Secure Accommodation,14,SEO (London),36973,42557,Project Manager - Planning,1.0,Operational Delivery
169,Ministry of Justice,Youth Justice Board,Secure Accommodation,14,HEO (London),29365,34009,Assistant Behaviour Management & Safeguarding Manager,4.0,Operational Delivery
170,Ministry of Justice,Youth Justice Board,Secure Accommodation,14,SEO (London),36973,42557,Project Manager,1.0,Operational Delivery
171,Ministry of Justice,Youth Justice Board,Secure Accommodation,14,G7 (London),49526,60573,Head of Secure Estate Business Change,0.5,Operational Delivery
172,Ministry of Justice,Youth Justice Board,Secure Accommodation,14,EO (London),24093,27809,Behaviour Management and Safeguarding Support Officer,6.0,Operational Delivery
173,Ministry of Justice,Youth Justice Board,Secure Accommodation,14,EO (London),24093,27809,Business Development Officer,1.0,Operational Delivery
174,Ministry of Justice,Youth Justice Board,Secure Accommodation,14,HEO (London),29365,34009,"Assistant Project Manager, Team 2",1.0,Operational Delivery
175,Ministry of Justice,Youth Justice Board,Secure Accommodation,14,SEO (London),36973,42557,Regime Development Manager,1.0,Operational Delivery
176,Ministry of Justice,Youth Justice Board,Secure Accommodation,14,SEO (London),36973,42557,Project Manger - Secure Estate Strategy,1.0,Operational Delivery
177,Ministry of Justice,Youth Justice Board,Secure Accommodation,14,G7 (London),49526,60573,Head of Behaviour Management & Safeguarding,1.0,Operational Delivery
178,Ministry of Justice,Youth Justice Board,Secure Accommodation,14,SEO (London),36973,42557,Project Manager - Operational Workstreams,1.0,Operational Delivery
179,Ministry of Justice,Youth Justice Board,Secure Accommodation,14,G6 (London),59991,73524,Deputy Director of Secure Accommodation,1.0,Operational Delivery
180,Ministry of Justice,Youth Justice Board,Secure Accommodation,14,HEO (London),29365,34009,Assistant Regime Development Manager,1.0,Operational Delivery
181,Ministry of Justice,Youth Justice Board,Secure Accommodation,14,HEO (London),29365,34009,Strategic Planning Officer,1.0,Operational Delivery
