,Parent Department,Organisation,Unit,Reporting Senior Post,Grade,Payscale Minimum (£),Payscale Maximum (£),Generic Job Title,Number of Posts in FTE,Professional/Occupational Group
103,"Department for Culture, Media and Sport",The Natural History Museum,Science,1346,Technical & Professional 4 (TP4),36112,44442,Technical Adviser,2.0,Science and Engineering
104,"Department for Culture, Media and Sport",The Natural History Museum,Science,1346,Technical & Professional 3 (TP3),31113,37356,Technical Adviser,2.0,Science and Engineering
105,"Department for Culture, Media and Sport",The Natural History Museum,Science,1346,Technical & Professional 3 (TP3),31113,37356,Operational Manager,4.58,Science and Engineering
106,"Department for Culture, Media and Sport",The Natural History Museum,Science,1346,Technical & Professional 2 (TP2),26523,31844,Operations Support Officer,8.38,Science and Engineering
107,"Department for Culture, Media and Sport",The Natural History Museum,Science,1346,Technical & Professional 1 (TP1),23480,27483,Operations Support Officer,10.8,Science and Engineering
108,"Department for Culture, Media and Sport",The Natural History Museum,Science,1346,Curatorial B,20721,23368,Collections Assistant,2.3,Science and Engineering
109,"Department for Culture, Media and Sport",The Natural History Museum,Science,1346,Curatorial B,20721,23368,Technical Support Officer,9.1,Science and Engineering
110,"Department for Culture, Media and Sport",The Natural History Museum,Science,1346,Curatorial B,20721,23368,Operations Support Officer,1.38,Science and Engineering
111,"Department for Culture, Media and Sport",The Natural History Museum,Science,1346,Technical B,20721,23368,Technical Support Officer,3.0,Science and Engineering
112,"Department for Culture, Media and Sport",The Natural History Museum,Science,1346,Technical B,20721,23368,Research Assistant,1.0,Science and Engineering
113,"Department for Culture, Media and Sport",The Natural History Museum,Science,1346,Administrative B (Admin B),20721,23368,Operations Support Officer,0.4,Science and Engineering
114,"Department for Culture, Media and Sport",The Natural History Museum,Science,1346,Curatorial A,17567,20721,Collections Assistant,2.0,Science and Engineering
115,"Department for Culture, Media and Sport",The Natural History Museum,Science,1346,Technical A,17567,20721,Technical Support Officer,0.45,Science and Engineering
116,"department for Culture, Media and Sport",The Natural History Museum,Public Engagement,770,FOH Retail B,19669,23368,Operations Support Officer,6.5,Operational Delivery
117,"Department for Culture, Media and Sport",The Natural History Museum,Science,1346,Science Level 3,33663,44397,Project Manager,2.0,Science and Engineering
