,Parent Department,Organisation,Unit,Reporting Senior Post,Grade,Payscale Minimum (£),Payscale Maximum (£),Generic Job Title,Number of Posts in FTE,Professional/Occupational Group
67,"Department for Culture, Media and Sport",Commission for Equality and Human Rights (known as the Equality and Human Rights Commission),"Chief Operating Officer, Scotland",8,Level 5,44180,53493,Head,2.0,Operational Delivery
68,"Department for Culture, Media and Sport",Commission for Equality and Human Rights (known as the Equality and Human Rights Commission),"Chief Operating Officer, Scotland",8,Level 5,44180,53493,Senior Legal Adviser,0.75,Operational Delivery
69,"Department for Culture, Media and Sport",Commission for Equality and Human Rights (known as the Equality and Human Rights Commission),"Chief Operating Officer, Scotland",8,Level 5,44180,53493,Senior Professional,0.69,Operational Delivery
70,"Department for Culture, Media and Sport",Commission for Equality and Human Rights (known as the Equality and Human Rights Commission),"Chief Operating Officer, Scotland",8,Director,60000,90000,Director,1.0,Operational Delivery
71,"Department for Culture, Media and Sport",Commission for Equality and Human Rights (known as the Equality and Human Rights Commission),"Chief Operating Officer, Wales",8,Level 2,21056,24778,Administrator,1.0,Operational Delivery
72,"Department for Culture, Media and Sport",Commission for Equality and Human Rights (known as the Equality and Human Rights Commission),"Chief Operating Officer, Wales",8,Level 2,21056,24778,Communications Officer,1.0,Communications
73,"Department for Culture, Media and Sport",Commission for Equality and Human Rights (known as the Equality and Human Rights Commission),"Chief Operating Officer, Wales",8,Level 2,21056,24778,Project Support Officer,1.0,Operational Delivery
74,"Department for Culture, Media and Sport",Commission for Equality and Human Rights (known as the Equality and Human Rights Commission),"Chief Operating Officer, Wales",8,Level 2,21056,24778,Service Support Coordinator,1.0,Operational Delivery
75,"Department for Culture, Media and Sport",Commission for Equality and Human Rights (known as the Equality and Human Rights Commission),"Chief Operating Officer, Wales",8,Level 3,27315,32995,Administrator,0.61,Operational Delivery
76,"Department for Culture, Media and Sport",Commission for Equality and Human Rights (known as the Equality and Human Rights Commission),"Chief Operating Officer, Wales",8,Level 3,27315,32995,Communications Officer,1.0,Communications
77,"Department for Culture, Media and Sport",Commission for Equality and Human Rights (known as the Equality and Human Rights Commission),"Chief Operating Officer, Wales",8,Level 3,27315,32995,Finance Officer,1.0,Finance
78,"Department for Culture, Media and Sport",Commission for Equality and Human Rights (known as the Equality and Human Rights Commission),"Chief Operating Officer, Wales",8,Level 3,27315,32995,Knowledge Information Management Support Officer,0.75,Knowledge and Information Management (KIM)
79,"Department for Culture, Media and Sport",Commission for Equality and Human Rights (known as the Equality and Human Rights Commission),"Chief Operating Officer, Wales",8,Level 3,27315,32995,Office Manager,1.0,Operational Delivery
80,"Department for Culture, Media and Sport",Commission for Equality and Human Rights (known as the Equality and Human Rights Commission),"Chief Operating Officer, Wales",8,Level 3,27315,32995,Policy Officer,1.0,Operational Delivery
81,"Department for Culture, Media and Sport",Commission for Equality and Human Rights (known as the Equality and Human Rights Commission),"Chief Operating Officer, Wales",8,Level 3,27315,32995,Research Officer,1.0,Operational Research
82,"Department for Culture, Media and Sport",Commission for Equality and Human Rights (known as the Equality and Human Rights Commission),"Chief Operating Officer, Wales",8,Level 4,34724,42000,Advisor,1.0,Operational Delivery
83,"Department for Culture, Media and Sport",Commission for Equality and Human Rights (known as the Equality and Human Rights Commission),"Chief Operating Officer, Wales",8,Level 4,34724,42000,Grants Manager,1.0,Operational Delivery
84,"Department for Culture, Media and Sport",Commission for Equality and Human Rights (known as the Equality and Human Rights Commission),"Chief Operating Officer, Wales",8,Level 5,44180,53493,Head,3.0,Operational Delivery
85,"Department for Culture, Media and Sport",Commission for Equality and Human Rights (known as the Equality and Human Rights Commission),Chief Resources Officer,7,Level 6,55500,60000,Programme Manager,1.0,Operational Delivery
86,"Department for Culture, Media and Sport",Commission for Equality and Human Rights (known as the Equality and Human Rights Commission),"Chief Resources Officer, Buildings and Facilities",7,Level 1,16000,19133,Facilites Assistant,2.0,Property and asset management
87,"Department for Culture, Media and Sport",Commission for Equality and Human Rights (known as the Equality and Human Rights Commission),"Chief Resources Officer, Buildings and Facilities",7,Level 3,27315,32995,Facilites Manager,1.78,Property and asset management
88,"Department for Culture, Media and Sport",Commission for Equality and Human Rights (known as the Equality and Human Rights Commission),"Chief Resources Officer, Buildings and Facilities",7,Level 4,34724,42000,Senior Facilities Manager,2.0,Property and asset management
